lot_id@address@number_of_spots@facility_name@facility_type@weekday_allowed_time@saturday_allowed_time@sunday_allowed_time@rate_1hr@rate_2hr@rate_3hr@rate_allday@disabled_spot_count@latitude@longitude
1@1801 6TH AV, SEATTLE, WA   98101@30@Vance BOA - Lot #60@SURFACE LOT@24 hours@24 hours@24 hours@9.0@18.0@-1.0@24.0@1@30.85823305926488@120.97487906044789
318@1422 ALASKAN WY, SEATTLE, WA   98101@147@Hillclimb Garage@GARAGE@10:00am - 6:00pm@9:00am - 8:00pm@9:00am - 6:00pm@3.0@6.0@9.0@18.0@2@30.798585230875567@120.8995450059276
319@818 STEWART ST, SEATTLE, WA   98101@225@818 Stewart@GARAGE@6:00am - 7:00pm@Closed@Closed@12.0@14.0@18.0@40.0@6@30.886180680731872@121.00741274415853
320@9 Wall Street, SEATTLE, WA   98121@1511@30-028 Bell Street Pier Garage@GARAGE@6:00am - 12:00am@6:00am - 1:00am@6:00am - 12:00am@5.0@8.0@12.0@22.0@14@30.848545053628182@120.77130900039774
321@1918 8TH AV, SEATTLE, WA   98101@402@1918 Eighth@GARAGE@6:00am - 7:00pm@6:00am - 7:00pm@6:00am - 7:00pm@12.0@14.0@18.0@40.0@0@30.883085725302212@120.9943353425852
322@130 5TH AV N, SEATTLE, WA   98109@37@@SURFACE LOT@24 hours@24 hours@24 hours@7.0@7.0@10.0@18.0@1@30.930308971341134@120.80110649140349
323@2901 WESTERN AV, SEATTLE, WA   98121@51@Olympic Sculpture Park@@24 hours@24 hours@24 hours@6.0@6.0@8.0@22.0@0@30.893817027515684@120.68851300880242
324@401 5TH AV N, SEATTLE, WA   98109@265@Memorial Stadium@SURFACE LOT@24 hours@24 hours@24 hours@10.0@12.0@17.0@25.0@6@30.97173519034198@120.75466568635021
325@2311 2ND AV, SEATTLE, WA   98121@20@@SURFACE LOT@24 hours@24 hours@24 hours@6.0@6.0@9.0@15.0@0@30.868191774674195@120.8164488600253
326@121 1ST AV N, SEATTLE, WA   98109@30@@SURFACE LOT@24 hours@24 hours@24 hours@4.0@4.0@12.0@12.0@1@30.926896297875075@120.65407224215315
327@2012 2ND AV, SEATTLE, WA   98101@45@Commodore Garage@GARAGE@24 hours@24 hours@24 hours@6.0@6.0@9.0@18.0@0@30.848098294406157@120.88915779282844
328@525 2ND AV W, SEATTLE, WA   98119@30@@SURFACE LOT@24 hours@24 hours@24 hours@3.0@3.0@-1.0@10.0@1@30.981593327040525@120.58937644997161
329@1501 4TH AV, SEATTLE, WA 98101@264@Century Square@GARAGE@7:00am - 10:00pm@9:00am - 10:00pm@10:00am - 8:00pm@8.0@13.0@17.0@29.0@0@30.824654566111683@120.96637312386088
330@1101 WESTERN AV, SEATTLE, WA   98101@132@@SURFACE LOT@24 hours@24 hours@24 hours@8.0@16.0@24.0@36.0@1@30.767451766065086@120.94534629286638
331@1619 3RD AVE, SEATTLE, WA 98101@754@3rd and Stewart Garage@GARAGE@5:30am - 12:00am@7:00am - 12:00am@9:00am - 8:00pm@8.0@14.0@18.0@36.0@14@30.83352708792587@120.93226809490281
332@65 LENORA ST, SEATTLE, WA 98121@412@Market Place Garage@GARAGE@5:30am - 12:30am@7:00am - 1:30am@8:00am - 11:30pm@6.0@16.0@18.0@26.0@0@30.831466111000786@120.8408905435607
333@1400 2ND AVE, SEATTLE, WA 98101@506@30-592 2nd and Union@GARAGE@6:00am - 12:00am@8:00am - 2:00am@8:00am - 2:00am@6.0@12.0@17.0@26.0@0@30.80810074487197@120.95802111082284
334@1527 15TH AVE, SEATTLE, WA 98112@12@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.879313272585705@121.37819362798936
335@415 1ST AVE N # 200, SEATTLE, WA 98109-4744@140@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.968995744791577@120.65389890024493
336@1964 4TH AVE S, SEATTLE, WA 98134@85@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.53079319016677@121.12212694555114
337@600 BROADWAY # 128, SEATTLE, WA 98122-5381@355@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.797129917369407@121.25985473376409
338@2222 CALIFORNIA AVE SW, SEATTLE, WA 98116@30@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.519927244628427@120.14389045638607
339@1401 MADISON ST, SEATTLE, WA 98104@53@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.82951165376242@121.24089482287468
340@1201 9TH AVE, SEATTLE, WA 98101@275@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.82209920049546@121.10590444736795
341@303 S MICHIGAN ST, SEATTLE, WA 98108@35@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.086596630098075@121.08759820322356
342@6020 AIRPORT WAY S, SEATTLE, WA 98108@35@@SURFACE LOT@@@@2.0@2.0@5.0@-1.0@0@30.13324901148328@121.32813273899815
343@737 N 34TH ST, SEATTLE, WA 98103@31@@@@@@-1.0@-1.0@-1.0@-1.0@0@31.264018299401663@120.78371257130843
344@1515 14TH AVE, SEATTLE, WA 98122@76@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.87424651136135@121.35690785163379
345@8580 GREENWOOD AVE N, SEATTLE, WA 98103@189@@@@@@-1.0@-1.0@-1.0@-1.0@0@31.751270340625354@120.67110702424652
346@4114 45TH AVE S, SEATTLE, WA   98118@100@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.324329065851362@121.999
347@4208 RAINIER AVE S, SEATTLE, WA   98118@140@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.31551576179953@121.80753416988907
348@800 5TH AVE, SEATTLE, WA 98104@496@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.7739193667798@121.08793877008718
349@501 2ND AVE, SEATTLE, WA 98104@252@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.730896007561324@121.04491127562812
350@1763 4TH AVE S, SEATTLE, WA 98134@34@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.55542416513993@121.10301758445223
351@2300 8TH AVE, SEATTLE, WA 98121@23@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.916337498597056@120.91550357707489
352@1260 MERCER ST, SEATTLE, WA 98109@173@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.98478437721078@121.06601420422922
353@2213 8TH AVE, SEATTLE, WA 98121@62@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.90652227021009@120.91961139058283
354@500 9TH AVE N, SEATTLE, WA 98109@545@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.978418823508406@120.9332741896389
355@5208 20TH AVE NW, SEATTLE, WA 98107@45@@@@@@-1.0@-1.0@-1.0@-1.0@0@31.466105335393312@120.21304318589559
356@121 TAYLOR AVE N, SEATTLE, WA 98109@28@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.922633624188@120.80959507685375
357@325 9TH AVE N, SEATTLE, WA 98109@1200@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.952506845104736@120.92068133207462
358@1101 MADISON ST, SEATTLE, WA 98104-1306@1025@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.813184809475242@121.19004916778836
359@1300 E MADISON ST, SEATTLE, WA 98122-4059@34@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.864467854996896@121.34214306909568
360@2203 1ST AVE S, SEATTLE, WA 98134@44@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.524553741045587@121.01355031855307
361@601 S WASHINGTON ST, SEATTLE, WA 98104@40@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.71725722953702@121.16544922292077
362@3900 S OTHELLO ST, SEATTLE, WA 98118@31@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.003@121.88774419843207
363@701 8TH AVE S, SEATTLE, WA 98104@78@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.66684302368524@121.21408530242553
364@747 BROADWAY, SEATTLE, WA 98122@575@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.80907527972134@121.22944759774104
365@345 BOREN AVE N, SEATTLE, WA 98109@784@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.955454857354198@120.98688292830165
366@222 YALE AVE N, SEATTLE, WA 98109@365@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.935053553149228@121.08802627132059
367@1401 E MADISON ST, SEATTLE, WA 98102@45@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.865477493566562@121.3650561582772
368@700 6TH AVE S, SEATTLE, WA 98104@14@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.66436935215223@121.16049394878713
369@601 BROADWAY, SEATTLE, WA 98122@224@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.797110558367777@121.243411872774
370@550 16TH AVE, SEATTLE, WA 98122@19@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.78848026125975@121.41317370316918
371@801 WESTERN AVE, SEATTLE, WA 98104@47@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.74130532236784@120.98153286500592
372@5216 BALLARD AVE NW, SEATTLE, WA 98107@66@@@@@@-1.0@-1.0@-1.0@-1.0@0@31.457921221481325@120.20141521412148
373@140 4TH AVE N, SEATTLE, WA 98109@490@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.92553740665363@120.77796973524313
374@100 W MERCER ST, SEATTLE, WA 98119-3930@38@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.989088445729166@120.61418465929572
375@500 S LANDER ST, SEATTLE, WA 98134@80@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.495709212745062@121.14232476844512
376@601 MINOR AVE, SEATTLE, WA 98104@987@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.788013171697624@121.21926671743019
377@1000 4TH AVE, SEATTLE, WA 98104@150@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.78245666387678@121.04236940208261
378@7100 M L KING JR WAY S, SEATTLE, WA 98118@31@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.016551142963863@121.91520945285164
379@1301 6TH AVE, SEATTLE, WA 98101@520@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.81608803850391@121.03555869174997
380@1600 EASTLAKE AVE E, SEATTLE, WA 98102-3709@18@@@@@@-1.0@-1.0@-1.0@-1.0@0@31.094178717907095@121.17526090021735
381@1634 19TH AVE, SEATTLE, WA 98122@35@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.894964291192707@121.48143473004568
382@537 YESLER WY, SEATTLE, WA   98104@30@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.724808923044158@121.15025584700689
383@2203 EASTLAKE AVE E, SEATTLE, WA 98102@8@@@@@@-1.0@-1.0@-1.0@-1.0@0@31.142666748282497@121.1552707317797
384@1401 LEARY WAY NW, SEATTLE, WA 98117@32@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@31.423844013792582@120.34048547865238
385@1100 NE 45TH ST, SEATTLE, WA 98115@78@45th St Plaza@GARAGE@@@@-1.0@-1.0@-1.0@-1.0@0@31.404760397987058@121.3257067317252
386@6300 9TH AVE NE, SEATTLE, WA 98115@55@Seattle Healing Arts@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@31.549137967975316@121.2943549754963
387@6801 ROOSEVELT WAY NE, SEATTLE, WA 98115@155@Calvary Christian Church@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@31.594895249668472@121.27074297783972
388@7300 ROOSEVELT AVE NE, SEATTLE, WA 98115@125@Roosevelt Safeway@GARAGE@@@@-1.0@-1.0@-1.0@-1.0@0@31.637270364700555@121.31713925283083
389@1700 NE 45TH ST, SEATTLE, WA 98115@12@Key Bank Wallingford@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@31.38867720152956@121.43719655334229
390@523 BROADWAY E, SEATTLE, WA 98102@346@@GARAGE@@@@-1.0@-1.0@-1.0@-1.0@0@30.97767736471328@121.2417366579377
391@601 ROY ST, SEATTLE, WA   98109@52@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.99372462164682@120.8459240503035
392@324 BROADWAY E, SEATTLE, WA   98102@11@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.95599520390841@121.25332120103995
393@2811 E MADISON ST, SEATTLE, WA   98112@10@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.97624153444905@121.6762103231073
394@625 BOREN AVE N, SEATTLE, WA 98109@216@Terry & Valley Lot@SURFACE LOT@24 Hours@24 Hours@24 Hours@9.76@9.76@-1.0@21.96@0@30.995865203147574@120.9835438683663
395@624 YALE AVE N, SEATTLE, WA 98109@15@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.990290646502835@121.0821598761937
396@617 EASTLAKE AVE E, SEATTLE, WA 98109@75@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.990220371293876@121.09155266929511
397@611 PONTIUS AVE N, SEATTLE, WA 98109@7@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.986947005836367@121.05695611520584
398@601 AURORA AV N, SEATTLE, WA   98109@20@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.99097990150257@120.85400512129681
399@400 MERCER ST, SEATTLE, WA 98109@74@@GARAGE@@@@-1.0@-1.0@-1.0@-1.0@0@30.988896527319515@120.78035407606856
400@200 W MERCER ST, SEATTLE, WA 98119@278@@GARAGE@6:30am - 6:30 pm@@@5.0@7.0@10.0@20.0@0@30.991284687183803@120.59020998224544
401@613 FAIRVIEW AV N, SEATTLE, WA   98109@29@Castle Superstore Parking@SURFACE LOT@24 Hours@24 Hours@24 Hours@9.76@9.76@-1.0@21.96@0@30.993327637874017@121.01039014136715
402@785 5TH AVE N, SEATTLE, WA 98109@50@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@31.004016302846807@120.78873392886798
403@14 MERCER ST, SEATTLE, WA 98109@61@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.98993250497359@120.65534292475915
404@10 MERCER ST, SEATTLE, WA   98109@7@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.992291298791@120.64886454627903
405@802 ROY ST, SEATTLE, WA 98109@165@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@31.001827120538476@120.90900732218121
406@701 9TH AVE N, SEATTLE, WA 98109@41@@GARAGE@@@@-1.0@-1.0@-1.0@-1.0@0@30.99803395346454@120.92098855222518
407@425 2ND AV W, SEATTLE, WA   98119@28@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.966641389765@120.59208088874395
408@415 1ST AV W, SEATTLE, WA   98119@77@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.968995744791577@120.65389890024493
409@401 2ND AV W, SEATTLE, WA   98119@42@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@1@30.961962813794027@120.59062990005283
410@318 5TH AV N, SEATTLE, WA   98109@53@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.95406315522253@120.80119045124297
411@220 W HARRISON ST, SEATTLE, WA   98119@37@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@1@30.961042640015318@120.57794344124662
412@325 1ST AVE N, SEATTLE, WA 98109@40@@GARAGE@@@@-1.0@-1.0@-1.0@-1.0@0@30.95686545540729@120.6544261443137
413@1732 4TH AV S, SEATTLE, WA   98134@108@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.56463795430111@121.12035448641225
414@100 REPUBLICAN ST, SEATTLE, WA 98109@274@@GARAGE@@@@-1.0@-1.0@-1.0@-1.0@0@30.975919739050113@120.6766533892056
415@516 W HARRISON ST, SEATTLE, WA 98109@841@5th Ave N Garage@GARAGE@24 Hours@24Hours@24 Hours@5.0@10.0@12.0@24.0@0@30.961169727229493@120.80327690831926
416@1000 DEXTER AV N, SEATTLE, WA   98109@576@@@7:00am - 7:00pm@Closed@Closed@4.0@6.0@8.0@14.0@0@31.027384311919487@120.8872416615442
417@1505 WESTLAKE AV N, SEATTLE, WA   98109@445@West Lake Union Center@@7:00am - 7:00pm@CLOSED@CLOSED@6.0@8.0@10.0@14.0@0@31.077819954985284@120.89419343457378
418@5433 LEARY AV NW, SEATTLE, WA   98107@28@Ballard Landmark@GARAGE@6:00am - 12:00am@6:00am - 12:00am@6:00am - 12:00am@1.0@2.0@4.0@-1.0@0@31.470556776287918@120.1863283172449
419@1260 REPUBLICAN ST, SEATTLE, WA 98102@10@@GARAGE@@@@-1.0@-1.0@-1.0@-1.0@0@30.97310469851885@121.07822343903624
420@501 EASTLAKE AVE E, SEATTLE, WA 98109@173@@@5:00am - 10:00pm@5:00am - 10:00pm@5:00am - 10:00pm@-1.0@-1.0@-1.0@-1.0@0@30.972756756044163@121.09952631236035
421@500 YALE AVE N, SEATTLE, WA 98109@131@@@5:00am - 10:00pm@5:00am - 10:00pm@5:00am - 10:00pm@-1.0@-1.0@-1.0@-1.0@0@30.971583616362288@121.08785503052634
422@400 FAIRVIEW AVE N, SEATTLE, WA 98109@418@400 Fairview - Lot #122@@@@@6.0@9.0@12.0@26.0@0@30.96345631445616@121.02654740334755
423@401 EASTLAKE AV E, SEATTLE, WA   98102@28@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.95939185028911@121.10257533383611
424@500 PONTIUS AV N, SEATTLE, WA   98121@73@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@2@30.973525163834516@121.06922794287865
425@414 MINOR AV N, SEATTLE, WA 98109@53@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.962135858871278@121.04789011311671
426@411 EASTLAKE AV E, SEATTLE, WA   98109@26@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.962915233750838@121.10147917925106
427@530 BROAD ST, SEATTLE, WA   98121@40@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.956550515851482@120.81334158346888
428@516 1ST AV W, SEATTLE, WA   98119@13@@GARAGE@@@@-1.0@-1.0@-1.0@-1.0@6@30.97913054353384@120.62564981167674
429@325 1ST AV N, SEATTLE, WA 98109@60@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@3@30.95686545540729@120.6544261443137
430@516 BROAD ST, SEATTLE, WA 98109@36@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@1@30.95149168345935@120.80389855002022
431@434 QUEEN ANNE AV N, SEATTLE, WA   98109@12@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@1@30.970166365769884@120.64697818642532
432@314 QUEEN ANNE AV N, SEATTLE, WA   98109@28@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.95135278205844@120.64601018285326
433@401 ELLIOTT AV W, SEATTLE, WA   98119@432@@GARAGE@@@@-1.0@-1.0@-1.0@-1.0@0@30.961614464712344@120.52020467488009
434@233 1ST AV W, SEATTLE, WA   98109@22@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.94372917562049@120.61182954767777
435@290 2ND AVE N, SEATTLE, WA 98109@7@Theatre Commons Lot@SURFACE LOT@@@@-1.0@-1.0@-1.0@15.0@6@30.94436183321334@120.71128205306039
436@3161 ELLIOTT AV, SEATTLE, WA 98121@131@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.916197117598774@120.60625441101277
437@200 2ND AVE N, SEATTLE, WA 98109@157@James Albert Claypool Memorial Garage@GARAGE@6:00am - 12:30am@6:00am - 2:30am@6:00am - 12:30am@9.0@9.0@9.0@13.0@0@30.93215498880424@120.73506032678254
438@136 ELLIOTT AV W, SEATTLE, WA   98119@3@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.926963308934848@120.60270332494832
439@113 QUEEN ANNE AV N, SEATTLE, WA   98109@28@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.922692164272462@120.63301806278743
440@250 1ST AV N, SEATTLE, WA   98109@620@@@@@@5.0@10.0@12.0@24.0@26@30.937433942305777@120.66828327947536
441@223 TAYLOR AV N, SEATTLE, WA   98109@50@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.939352708502707@120.81005708472068
442@2404 7TH AV, SEATTLE, WA   98121@26@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.917065177939484@120.87734953191351
443@109 TAYLOR AV N, SEATTLE, WA   98109@84@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.922633624188@120.80959507685375
444@200 TAYLOR AV N, SEATTLE, WA   98109@102@Best Western Executive Inn - Lot #85@@@@@-1.0@-1.0@-1.0@-1.0@0@30.93921904781146@120.82363419560245
445@1531 WESTERN AV, SEATTLE, WA   98101@540@Public Market Garage@GARAGE@5:00am - 2:00am@5:00am - 2:00am@5:00am - 2:00am@3.0@6.0@9.0@40.0@6@30.810618476769818@120.8871187463733
446@4115 UNIVERSITY WY NE, SEATTLE, WA   98105@16@@@@@@-1.0@-1.0@-1.0@-1.0@0@31.358351924208563@121.3712017135156
447@200 6TH AV N, SEATTLE, WA   98109@45@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.936719172728846@120.84596758064204
448@4220 BROOKLYN AV NE, SEATTLE, WA   98105@76@@@@@@-1.0@-1.0@-1.0@-1.0@0@31.375495415665377@121.36419371874025
449@535 TERRY AV N, SEATTLE, WA 98109@152@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.98049484488523@120.96469689235664
450@666 S DEARBORN ST, SEATTLE, WA   98104@75@Merchants Parking #43@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@2@30.669042585761634@121.1918223385951
451@4105 UNIVERSITY WY NE, SEATTLE, WA   98105@40@@@@@@-1.0@-1.0@-1.0@-1.0@0@31.35302276606178@121.37232018396413
452@300 MERCER ST, SEATTLE, WA   98109@1433@Mercer Garage@GARAGE@@@@-1.0@-1.0@-1.0@-1.0@47@30.991440869373317@120.75016815007648
453@2230 4TH AV S, SEATTLE, WA 98134@113@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.51049258891286@121.11544096344755
454@214 5TH AV S, SEATTLE, WA   98104@36@Merchants Parking@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.713682929868604@121.13657012208526
455@4526 15TH AV NE, SEATTLE, WA   98105@70@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@31.41032910401196@121.40322255595521
456@1011 PIKE ST, SEATTLE, WA   98101@120@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.856172161402036@121.10471777543523
457@428 WESTLAKE AV N, SEATTLE, WA   98109@21@@@7am-6pm@CLOSED@CLOSED@2.0@4.0@-1.0@15.0@0@30.967393137971438@120.95636555156968
459@2454 OCCIDENTAL AV S, SEATTLE, WA   98134@16@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.498581325058574@121.04835757710148
461@4704 42ND AV SW, SEATTLE, WA   98116@213@@GARAGE/SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.26654205089502@120.16421060139506
462@4314 SW ALASKA ST, SEATTLE, WA   98116@30@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.272857625844992@120.11172124818302
463@4701 CALIFORNIA AV SW, SEATTLE, WA   98116@18@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.26833807831121@120.12456774749101
464@2929 27TH AV S, SEATTLE, WA   98144@75@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.449584381093715@121.62245093117896
466@3100 RAINIER AV S, SEATTLE, WA   98144@19@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.432805785356077@121.67527566624828
467@2930 1ST AVE S, SEATTLE, WA 98134@23@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.44718071369812@121.0297212208305
468@2910 RAINIER AVE S, SEATTLE, WA 98144@25@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.453335396595563@121.65168774668145
469@2250 OCCIDENTAL AV S, SEATTLE, WA   98134@80@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.503381555525397@121.04818948797869
470@2944 1ST AVE S, SEATTLE, WA 98134@24@@GARAGE@@@@-1.0@-1.0@-1.0@-1.0@0@30.440324792193934@121.026513785523
471@2764 1ST AVE S, SEATTLE, WA 98134@51@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.460014873337215@121.02842810374906
472@2759 1ST AVE S, SEATTLE, WA 98134@45@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.462367782650603@121.01177028523612
473@2430 1ST AVE S, SEATTLE, WA 98134@36@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.49291252599278@121.03024185655629
474@1220 HOWELL ST, SEATTLE, WA 98101-1469@585@@GARAGE@@@@14.0@16.0@18.0@35.0@0@30.557115886617243@121.32087155998163
475@1530 15TH AVE S, SEATTLE, WA 98144@14@@GARAGE@@@@-1.0@-1.0@-1.0@-1.0@0@30.586043972615677@121.37252095896596
476@1955 1ST AV S, SEATTLE, WA   98134@75@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.53299401724156@121.01377051191513
477@1915 1ST AV S, SEATTLE, WA   98134@15@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.546542652797655@121.01036916411597
478@1910 1ST AV S, SEATTLE, WA   98134@5@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.546663392427604@121.03178075314761
479@1900 1ST AV S, SEATTLE, WA   98134@65@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.546663392427604@121.03178075314761
480@1760 1ST AVE S, SEATTLE, WA 98134@48@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.555941357695392@121.02860739316529
481@500 17TH AVE, SEATTLE, WA 98122@90@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.78888892368384@121.43737633414867
482@500 QUEEN ANNE AVE N, SEATTLE, WA 98109@13@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.97387262063997@120.64574232470186
483@535 PONTIUS AVE N, SEATTLE, WA 98109@33@@GARAGE@@@@-1.0@-1.0@-1.0@-1.0@0@30.978121989249708@121.05741634390317
484@401 PONTIUS AVE N, SEATTLE, WA 98109@14@@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.959924674617454@121.0588297836533
485@614 BROADWAY E, SEATTLE, WA   98102@22@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.988860147305665@121.2503629680253
486@415 SENECA ST, SEATTLE, WA 98101@624@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.795021446510667@121.03425537409875
487@601 S JACKSON ST, SEATTLE, WA   98104@23@Merchants Parking #02@SURFACE LOT@@@@-1.0@-1.0@-1.0@-1.0@0@30.697671431743586@121.15957706667498
488@1914 OCCIDENTAL AV S, SEATTLE, WA   98134@100@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.53351159381499@121.04480484742464
489@1058 E MERCER ST, SEATTLE, WA   98102@57@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.985061536218247@121.28957844855586
490@105 BLANCHARD ST, SEATTLE, WA   98121@12@@@5pm- 7am@24 hours@24 hours@9.0@9.0@-1.0@9.0@0@30.853308339349685@120.84394002253612
491@2210 7TH AV, SEATTLE, WA   98121@26@@@24 hours@24 hours@24 hours@5.0@5.0@-1.0@17.0@0@30.90290745669144@120.91776705300958
492@1201 3RD AV, SEATTLE, WA   98101@808@@@@@@-1.0@-1.0@-1.0@-1.0@0@30.79088954208846@120.98918976513006
